ROUTES 100
TRUCK 1
464 PICKUP_CONTAINER_TRAILER 682
121 PICKUP_CONTAINER 958
497 DROP_CONTAINER 682
491 DROP_CONTAINER_TRAILER 958
456 PICKUP_CONTAINER_TRAILER 600
51 DROP_CONTAINER 600
300 PICKUP_CONTAINER 599
108 DROP_CONTAINER_TRAILER 599
462 PICKUP_CONTAINER_TRAILER 58
52 DROP_CONTAINER_TRAILER 58
100 PICKUP_CONTAINER_TRAILER 78
93 DROP_CONTAINER 78
424 PICKUP_CONTAINER 998
264 DROP_CONTAINER_TRAILER 998
3 STOP
#
TRUCK 2
438 PICKUP_CONTAINER_TRAILER 601
347 PICKUP_CONTAINER 216
390 DROP_CONTAINER 601
258 DROP_CONTAINER_TRAILER 216
52 PICKUP_CONTAINER_TRAILER 470
126 DROP_CONTAINER_TRAILER 470
399 PICKUP_CONTAINER_TRAILER 100
82 PICKUP_CONTAINER 149
96 DROP_CONTAINER 149
428 DROP_CONTAINER_TRAILER 100
125 PICKUP_CONTAINER_TRAILER 801
312 DROP_CONTAINER_TRAILER 801
178 PICKUP_CONTAINER_TRAILER 913
84 PICKUP_CONTAINER 292
214 DROP_CONTAINER 913
264 DROP_CONTAINER 292
261 PICKUP_CONTAINER 93
406 DROP_CONTAINER_TRAILER 93
205 PICKUP_CONTAINER_TRAILER 28
339 DROP_CONTAINER_TRAILER 28
425 PICKUP_CONTAINER_TRAILER 909
188 DROP_CONTAINER 909
39 PICKUP_CONTAINER 868
267 DROP_CONTAINER_TRAILER 868
459 PICKUP_CONTAINER_TRAILER 629
37 DROP_CONTAINER_TRAILER 629
39 PICKUP_CONTAINER_TRAILER 949
313 DROP_CONTAINER_TRAILER 949
2 STOP
#
TRUCK 3
17 PICKUP_CONTAINER_TRAILER 211
292 DROP_CONTAINER_TRAILER 211
270 PICKUP_CONTAINER_TRAILER 316
176 DROP_CONTAINER_TRAILER 316
214 PICKUP_CONTAINER_TRAILER 427
258 DROP_CONTAINER 427
308 PICKUP_CONTAINER 860
352 DROP_CONTAINER_TRAILER 860
274 PICKUP_CONTAINER_TRAILER 838
149 PICKUP_CONTAINER 889
39 DROP_CONTAINER 889
412 DROP_CONTAINER_TRAILER 838
395 PICKUP_CONTAINER_TRAILER 822
388 PICKUP_CONTAINER 324
239 DROP_CONTAINER 822
247 DROP_CONTAINER_TRAILER 324
3 STOP
#
TRUCK 4
80 PICKUP_CONTAINER_TRAILER 862
88 PICKUP_CONTAINER 273
192 DROP_CONTAINER 862
475 DROP_CONTAINER 273
106 PICKUP_CONTAINER 38
464 DROP_CONTAINER_TRAILER 38
233 PICKUP_CONTAINER_TRAILER 347
484 PICKUP_CONTAINER 696
324 DROP_CONTAINER 347
150 DROP_CONTAINER_TRAILER 696
188 PICKUP_CONTAINER_TRAILER 628
435 DROP_CONTAINER_TRAILER 628
146 PICKUP_CONTAINER_TRAILER 21
302 DROP_CONTAINER 21
377 PICKUP_CONTAINER 245
487 DROP_CONTAINER 245
426 PICKUP_CONTAINER 901
32 DROP_CONTAINER 901
281 PICKUP_CONTAINER 930
289 DROP_CONTAINER_TRAILER 930
6 STOP
#
TRUCK 5
339 PICKUP_CONTAINER_TRAILER 893
269 DROP_CONTAINER_TRAILER 893
315 PICKUP_CONTAINER_TRAILER 341
374 DROP_CONTAINER_TRAILER 341
380 PICKUP_CONTAINER_TRAILER 345
178 PICKUP_CONTAINER 129
373 DROP_CONTAINER 345
396 DROP_CONTAINER_TRAILER 129
371 PICKUP_CONTAINER_TRAILER 88
477 DROP_CONTAINER_TRAILER 88
373 PICKUP_CONTAINER_TRAILER 665
63 DROP_CONTAINER_TRAILER 665
167 PICKUP_CONTAINER_TRAILER 644
115 DROP_CONTAINER_TRAILER 644
375 PICKUP_CONTAINER_TRAILER 779
21 PICKUP_CONTAINER 625
214 DROP_CONTAINER 625
228 DROP_CONTAINER_TRAILER 779
155 PICKUP_CONTAINER_TRAILER 321
179 DROP_CONTAINER_TRAILER 321
5 STOP
#
TRUCK 6
58 PICKUP_CONTAINER_TRAILER 856
180 DROP_CONTAINER_TRAILER 856
23 PICKUP_CONTAINER_TRAILER 4
449 DROP_CONTAINER_TRAILER 4
26 PICKUP_CONTAINER_TRAILER 279
70 DROP_CONTAINER_TRAILER 279
159 PICKUP_CONTAINER_TRAILER 556
312 DROP_CONTAINER 556
333 PICKUP_CONTAINER 739
356 DROP_CONTAINER_TRAILER 739
246 PICKUP_CONTAINER_TRAILER 989
438 DROP_CONTAINER 989
123 PICKUP_CONTAINER 46
54 DROP_CONTAINER_TRAILER 46
224 PICKUP_CONTAINER_TRAILER 802
64 PICKUP_CONTAINER 203
89 DROP_CONTAINER 203
320 DROP_CONTAINER_TRAILER 802
5 STOP
#
TRUCK 7
153 PICKUP_CONTAINER_TRAILER 27
222 DROP_CONTAINER_TRAILER 27
177 PICKUP_CONTAINER_TRAILER 560
414 PICKUP_CONTAINER 738
315 DROP_CONTAINER 560
118 DROP_CONTAINER_TRAILER 738
321 PICKUP_CONTAINER_TRAILER 788
446 PICKUP_CONTAINER 24
358 DROP_CONTAINER 788
297 DROP_CONTAINER_TRAILER 24
244 PICKUP_CONTAINER_TRAILER 161
160 DROP_CONTAINER_TRAILER 161
330 PICKUP_CONTAINER_TRAILER 699
435 DROP_CONTAINER_TRAILER 699
146 PICKUP_CONTAINER_TRAILER 165
74 PICKUP_CONTAINER 119
385 DROP_CONTAINER 165
79 DROP_CONTAINER_TRAILER 119
282 PICKUP_CONTAINER_TRAILER 674
296 PICKUP_CONTAINER 154
186 DROP_CONTAINER 674
338 DROP_CONTAINER_TRAILER 154
179 PICKUP_CONTAINER_TRAILER 684
428 PICKUP_CONTAINER 728
398 DROP_CONTAINER 728
447 DROP_CONTAINER_TRAILER 684
239 PICKUP_CONTAINER_TRAILER 228
492 DROP_CONTAINER_TRAILER 228
2 STOP
#
TRUCK 8
133 PICKUP_CONTAINER_TRAILER 288
412 DROP_CONTAINER 288
227 PICKUP_CONTAINER 45
294 DROP_CONTAINER 45
285 PICKUP_CONTAINER 179
121 DROP_CONTAINER_TRAILER 179
137 PICKUP_CONTAINER_TRAILER 488
104 PICKUP_CONTAINER 350
309 DROP_CONTAINER 350
275 DROP_CONTAINER_TRAILER 488
82 PICKUP_CONTAINER_TRAILER 844
239 DROP_CONTAINER_TRAILER 844
290 PICKUP_CONTAINER_TRAILER 173
161 DROP_CONTAINER_TRAILER 173
35 PICKUP_CONTAINER_TRAILER 137
429 PICKUP_CONTAINER 282
417 DROP_CONTAINER 137
107 DROP_CONTAINER 282
1 DROP_TRAILER
6 STOP
#
TRUCK 9
429 PICKUP_CONTAINER_TRAILER 630
329 DROP_CONTAINER 630
124 PICKUP_CONTAINER 157
206 PICKUP_CONTAINER 235
219 DROP_CONTAINER 157
164 DROP_CONTAINER_TRAILER 235
382 PICKUP_CONTAINER_TRAILER 244
155 DROP_CONTAINER 244
305 PICKUP_CONTAINER 122
393 DROP_CONTAINER_TRAILER 122
119 PICKUP_CONTAINER_TRAILER 910
31 PICKUP_CONTAINER 880
80 DROP_CONTAINER 880
470 DROP_CONTAINER_TRAILER 910
347 PICKUP_CONTAINER_TRAILER 753
12 DROP_CONTAINER 753
90 PICKUP_CONTAINER 442
122 DROP_CONTAINER_TRAILER 442
6 STOP
#
TRUCK 10
478 PICKUP_CONTAINER_TRAILER 230
274 DROP_CONTAINER_TRAILER 230
146 PICKUP_CONTAINER_TRAILER 870
87 DROP_CONTAINER_TRAILER 870
353 PICKUP_CONTAINER_TRAILER 306
465 PICKUP_CONTAINER 385
151 DROP_CONTAINER 385
400 DROP_CONTAINER_TRAILER 306
1 PICKUP_TRAILER
12 PICKUP_CONTAINER 736
29 PICKUP_CONTAINER 383
190 DROP_CONTAINER 736
127 DROP_CONTAINER_TRAILER 383
56 PICKUP_CONTAINER_TRAILER 586
161 DROP_CONTAINER_TRAILER 586
161 PICKUP_CONTAINER_TRAILER 690
68 DROP_CONTAINER 690
397 PICKUP_CONTAINER 518
22 DROP_CONTAINER_TRAILER 518
261 PICKUP_CONTAINER_TRAILER 304
228 PICKUP_CONTAINER 170
176 DROP_CONTAINER 170
411 DROP_CONTAINER_TRAILER 304
5 STOP
#
TRUCK 11
445 PICKUP_CONTAINER_TRAILER 266
395 PICKUP_CONTAINER 764
328 DROP_CONTAINER 266
326 DROP_CONTAINER_TRAILER 764
199 PICKUP_CONTAINER_TRAILER 67
95 PICKUP_CONTAINER 719
