Points 500
DISTANCES 250000
1 1 0
1 2 45
1 3 18
1 4 84
1 5 52
1 6 16
1 7 6
1 8 8
1 9 48
1 10 76
1 11 39
1 12 7
1 13 79
1 14 43
1 15 3
1 16 50
1 17 95
1 18 43
1 19 16
1 20 85
1 21 9
1 22 68
1 23 70
1 24 62
1 25 42
1 26 76
1 27 82
1 28 10
1 29 7
1 30 56
1 31 28
1 32 50
1 33 92
1 34 10
1 35 100
1 36 95
1 37 15
1 38 53
1 39 29
1 40 45
1 41 65
1 42 32
1 43 54
1 44 74
1 45 89
1 46 71
1 47 73
1 48 37
1 49 72
1 50 42
1 51 81
1 52 57
1 53 17
1 54 51
1 55 86
1 56 100
1 57 62
1 58 10
1 59 96
1 60 48
1 61 39
1 62 75
1 63 20
1 64 57
1 65 41
1 66 76
1 67 9
1 68 90
1 69 29
1 70 84
1 71 91
1 72 92
1 73 46
1 74 95
1 75 81
1 76 12
1 77 73
1 78 15
1 79 49
1 80 76
1 81 64
1 82 22
1 83 92
1 84 2
1 85 8
1 86 77
1 87 58
1 88 41
1 89 94
1 90 92
1 91 62
1 92 8
1 93 92
1 94 83
1 95 29
1 96 18
1 97 20
1 98 20
1 99 9
1 100 66
1 101 67
1 102 50
1 103 2
1 104 84
1 105 71
1 106 50
1 107 88
1 108 100
1 109 57
1 110 20
1 111 54
1 112 83
1 113 81
1 114 72
1 115 86
1 116 71
1 117 54
1 118 53
1 119 89
1 120 2
1 121 7
1 122 98
1 123 9
1 124 38
1 125 74
1 126 75
1 127 61
1 128 15
1 129 18
1 130 38
1 131 75
1 132 62
1 133 67
1 134 59
1 135 87
1 136 53
1 137 5
1 138 1
1 139 24
1 140 90
1 141 67
1 142 34
1 143 5
1 144 1
1 145 20
1 146 96
1 147 70
1 148 60
1 149 95
1 150 92
1 151 71
1 152 29
1 153 23
1 154 60
1 155 100
1 156 66
1 157 29
1 158 84
1 159 77
1 160 56
1 161 37
1 162 10
1 163 52
1 164 62
1 165 67
1 166 91
1 167 73
1 168 91
1 169 22
1 170 71
1 171 9
1 172 19
1 173 61
1 174 40
1 175 10
1 176 65
1 177 26
1 178 86
1 179 29
1 180 41
1 181 99
1 182 7
1 183 89
1 184 97
1 185 43
1 186 93
1 187 76
1 188 33
1 189 29
1 190 78
1 191 64
1 192 7
1 193 31
1 194 72
1 195 27
1 196 31
1 197 38
1 198 93
1 199 70
1 200 23
1 201 19
1 202 38
1 203 66
1 204 62
1 205 97
1 206 28
1 207 32
1 208 46
1 209 26
1 210 86
1 211 23
1 212 67
1 213 71
1 214 79
1 215 51
1 216 6
1 217 88
1 218 71
1 219 84
1 220 86
1 221 82
1 222 65
1 223 28
1 224 66
1 225 99
1 226 44
1 227 97
1 228 76
1 229 79
1 230 86
1 231 46
1 232 64
1 233 5
1 234 100
1 235 32
1 236 43
1 237 30
1 238 16
1 239 92
1 240 1
1 241 27
1 242 59
1 243 79
1 244 69
1 245 77
1 246 31
1 247 20
1 248 57
1 249 56
1 250 48
1 251 77
1 252 58
1 253 60
1 254 17
1 255 5
1 256 92
1 257 92
1 258 1
1 259 62
1 260 81
1 261 28
1 262 23
1 263 98
1 264 22
1 265 70
1 266 38
1 267 46
1 268 99
1 269 15
1 270 69
1 271 69
1 272 20
1 273 23
1 274 26
1 275 74
1 276 88
1 277 86
1 278 54
1 279 53
1 280 5
1 281 96
1 282 1
1 283 19
1 284 51
1 285 68
1 286 46
1 287 84
1 288 70
1 289 44
1 290 72
1 291 65
1 292 10
1 293 16
1 294 30
1 295 42
1 296 42
1 297 56
1 298 92
1 299 25
1 300 73
1 301 6
1 302 47
1 303 31
1 304 55
1 305 53
1 306 55
1 307 51
1 308 42
1 309 31
1 310 3
1 311 61
1 312 70
1 313 9
1 314 61
1 315 77
1 316 87
1 317 76
1 318 67
1 319 48
1 320 83
1 321 34
1 322 1
1 323 22
1 324 8
1 325 43
1 326 99
1 327 53
1 328 19
1 329 17
1 330 50
1 331 92
1 332 89
1 333 58
1 334 18
1 335 8
1 336 16
1 337 73
1 338 38
1 339 31
1 340 97
1 341 42
1 342 11
1 343 49
1 344 37
1 345 42
1 346 78
1 347 96
1 348 62
1 349 86
1 350 65
1 351 35
1 352 71
1 353 62
1 354 24
1 355 26
1 356 58
1 357 41
1 358 64
1 359 28
1 360 53
1 361 95
1 362 19
1 363 8
1 364 83
1 365 87
1 366 17
1 367 82
1 368 77
1 369 87
1 370 51
1 371 41
1 372 29
1 373 52
1 374 10
1 375 45
1 376 45
1 377 54
1 378 86
1 379 23
1 380 82
1 381 32
1 382 60
1 383 74
1 384 7
1 385 4
1 386 29
1 387 5
1 388 61
1 389 6
1 390 91
1 391 58
1 392 65
1 393 41
